,Nome,Sobrenome,Nacionalidade,Posição, Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assist,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
1114,Lucas,Hernández, FRA,ZG,Bayern Munich, Bundesliga,27,1996,7,6,476,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,"0,2",3,34,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,03","0,00","0,03"
1115,Luis,Hernández, ESP,ZG,Cádiz, La Liga,34,1989,30,30,2.699,30.0,0,0,0,0,0,0,7,1,0.3,0.3,0.8,"1,1",7,74,5,"0,00","0,00","0,00","0,00","0,00","0,01","0,03","0,04","0,01","0,04"
1116,Mario,Hernández, ESP,ZG,Rayo Vallecano, La Liga,24,1999,3,1,103,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,"0,1",4,3,0,"0,00","0,00","0,00","0,00","0,00","0,05","0,00","0,05","0,05","0,05"
1117,Theo,Hernández, FRA,ZG,Milan, Serie A,25,1997,28,28,2.448,27.2,4,3,7,3,1,1,5,0,4.0,3.2,3.2,"6,3",94,119,121,"0,15","0,11","0,26","0,11","0,22","0,15","0,12","0,26","0,12","0,23"
1118,Jorge,Herrando, ESP,ZG,Osasuna, La Liga,22,2001,1,1,25,0.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1119,Ander,Herrera, ESP,LT,Athletic Club, La Liga,33,1989,14,7,560,6.2,0,1,1,0,0,0,3,1,0.5,0.5,0.8,"1,3",7,31,13,"0,00","0,16","0,16","0,00","0,16","0,09","0,13","0,21","0,09","0,21"
1120,Sergio,Herrera, ESP,G,Osasuna, La Liga,29,1993,15,15,1.350,15.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1121,Yangel,Herrera, VEN,"LT,AT",Girona, La Liga,25,1998,16,10,776,8.6,2,2,4,2,0,0,2,0,2.1,2.1,0.9,"3,0",15,39,47,"0,23","0,23","0,46","0,23","0,46","0,25","0,10","0,35","0,24","0,34"
1122,Patrick,Herrmann, GER,"AT,LT",M'Gladbach, Bundesliga,32,1991,19,0,153,1.7,1,0,1,1,0,0,2,0,0.4,0.4,0.4,"0,8",6,6,12,"0,59","0,00","0,59","0,59","0,59","0,21","0,25","0,45","0,21","0,45"
1123,Son,Heung-min, KOR,"LT,AT",Tottenham,Premier League,30,1992,33,30,2.633,29.3,10,5,15,10,0,0,2,0,9.6,9.6,5.6,"15,2",75,73,178,"0,34","0,17","0,51","0,34","0,51","0,33","0,19","0,52","0,33","0,52"
1124,Aaron,Hickey,t SCO,ZG,Brentford,Premier League,20,2002,23,20,1.675,18.6,0,0,0,0,0,0,6,0,0.3,0.3,0.2,"0,6",34,74,41,"0,00","0,00","0,00","0,00","0,00","0,02","0,01","0,03","0,02","0,03"
1125,Isak,Hien, SWE,ZG,Hellas Verona, Serie A,24,1999,28,24,2.247,25.0,0,0,0,0,0,0,8,0,0.3,0.3,0.1,"0,4",15,48,2,"0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","0,01"
1126,Omar,El Hilali, MAR,"ZG,LT",Espanyol, La Liga,19,2003,5,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",0,0,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,00","0,01"
1127,Piero,Hincapié, ECU,ZG,Leverkusen, Bundesliga,21,2002,28,25,2.278,25.3,1,0,1,1,0,0,12,2,1.2,1.2,0.8,"2,0",44,78,40,"0,04","0,00","0,04","0,04","0,04","0,05","0,03","0,08","0,05","0,08"
1128,Morten,Hjulmand, DEN,LT,Lecce, Serie A,23,1999,32,32,2.755,30.6,0,4,4,0,0,0,8,1,0.6,0.6,2.0,"2,6",9,149,15,"0,00","0,13","0,13","0,00","0,13","0,02","0,07","0,08","0,02","0,08"
1129,Adam,Hložek, CZE,"AT,LT",Leverkusen, Bundesliga,20,2002,26,16,1.263,14.0,5,3,8,5,0,0,2,0,2.7,2.7,2.5,"5,2",20,31,69,"0,36","0,21","0,57","0,36","0,57","0,19","0,18","0,37","0,19","0,37"
1130,Joseph,Hodge, IRL,LT,Wolves,Premier League,20,2002,5,1,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,"0,2",1,7,4,"0,00","0,00","0,00","0,00","0,00","0,06","0,03","0,09","0,06","0,09"
1131,Nicolas,Höfler, GER,LT,Freiburg, Bundesliga,33,1990,30,30,2.637,29.3,0,1,1,0,0,0,9,0,1.7,1.7,0.9,"2,6",11,102,9,"0,00","0,03","0,03","0,00","0,03","0,06","0,03","0,09","0,06","0,09"
1132,Jonas,Hofmann, GER,"AT,LT",M'Gladbach, Bundesliga,30,1992,28,27,2.410,26.8,10,8,18,10,0,1,2,0,6.3,5.6,9.9,"15,5",64,94,173,"0,37","0,30","0,67","0,37","0,67","0,23","0,37","0,60","0,21","0,58"
1133,Philipp,Hofmann, GER,AT,Bochum, Bundesliga,30,1993,31,28,2.371,26.3,8,1,9,8,0,0,3,0,8.0,8.0,2.5,"10,5",7,59,104,"0,30","0,04","0,34","0,30","0,34","0,30","0,09","0,40","0,30","0,40"
1134,Rob,Holding,ENG,ZG,Arsenal,Premier League,27,1995,14,6,566,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,"0,3",3,24,2,"0,16","0,00","0,16","0,16","0,16","0,05","0,00","0,05","0,05","0,05"
1135,Lucas,Höler, GER,"AT,LT",Freiburg, Bundesliga,28,1994,23,13,1.234,13.7,5,2,7,5,0,0,1,0,2.9,2.9,1.6,"4,5",14,27,74,"0,36","0,15","0,51","0,36","0,51","0,21","0,12","0,33","0,21","0,33"
1136,Mason,Holgate,ENG,ZG,Everton,Premier League,26,1996,6,4,444,4.9,0,0,0,0,0,0,3,1,0.3,0.3,0.3,"0,6",4,12,4,"0,00","0,00","0,00","0,00","0,00","0,06","0,07","0,13","0,06","0,13"
1137,Emil,Holm, SWE,ZG,Spezia, Serie A,22,2000,20,17,1.393,15.5,1,1,2,1,0,0,4,0,1.2,1.2,1.3,"2,5",41,40,82,"0,06","0,06","0,13","0,06","0,13","0,08","0,08","0,16","0,08","0,16"
1138,Noah,Holm, NOR,"AT,LT",Reims, Ligue 1,21,2001,8,2,194,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,"0,6",1,2,8,"0,00","0,00","0,00","0,00","0,00","0,15","0,15","0,30","0,15","0,30"
1139,Gerrit,Holtmann, PHI,"AT,LT",Bochum, Bundesliga,28,1995,21,8,909,10.1,1,1,2,1,0,0,0,0,2.3,2.3,0.8,"3,1",36,8,81,"0,10","0,10","0,20","0,10","0,20","0,23","0,08","0,30","0,23","0,30"
1140,Martin,Hongla, CMR,LT,Hellas Verona, Serie A,25,1998,9,6,523,5.8,0,0,0,0,0,0,4,0,0.2,0.2,0.3,"0,5",6,24,10,"0,00","0,00","0,00","0,00","0,00","0,03","0,05","0,08","0,03","0,08"
1141,Martin,Hongla, CMR,"ZG,LT",Valladolid, La Liga,25,1998,13,12,1.047,11.6,0,0,0,0,0,0,6,1,0.0,0.0,0.0,"0,0",2,36,4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1142,Franck,Honorat, FRA,"AT,LT",Brest, Ligue 1,26,1996,30,27,2.338,26.0,5,5,10,5,0,0,1,0,4.6,4.6,8.5,"13,1",91,65,236,"0,19","0,19","0,38","0,19","0,38","0,18","0,33","0,50","0,18","0,50"
1143,Jannes,Horn, GER,"ZG,AT",Bochum, Bundesliga,26,1997,2,1,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1144,Cédric,Hountondji, BEN,ZG,Angers, Ligue 1,29,1994,34,33,2.942,32.7,0,0,0,0,0,0,7,0,1.0,1.0,0.3,"1,3",5,78,1,"0,00","0,00","0,00","0,00","0,00","0,03","0,01","0,04","0,03","0,04"
1145,Ilyes,Housni, FRA,AT,Paris S-G, Ligue 1,17,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1146,Lukáš,Hrádecký, FIN,G,Leverkusen, Bundesliga,33,1989,30,30,2.699,30.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1147,Petko,Hristov, BUL,ZG,Spezia, Serie A,24,1999,9,4,365,4.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",2,8,3,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,02","0,02"
1148,Ajdin,Hrustic, AUS,LT,Hellas Verona, Serie A,26,1996,6,3,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.6,"0,9",7,8,12,"0,00","0,00","0,00","0,00","0,00","0,13","0,24","0,37","0,13","0,37"
1149,Timo,Hübers, GER,ZG,Köln, Bundesliga,26,1996,26,25,2.289,25.4,1,0,1,1,0,0,7,0,1.0,1.0,0.1,"1,1",9,72,0,"0,04","0,00","0,04","0,04","0,04","0,04","0,00","0,04","0,04","0,04"
1150,Callum,Hudson-Odoi,ENG,"AT,LT",Leverkusen, Bundesliga,22,2000,14,7,605,6.7,0,1,1,0,0,0,0,0,0.2,0.2,0.8,"0,9",30,31,44,"0,00","0,15","0,15","0,00","0,15","0,03","0,11","0,14","0,03","0,14"
1151,Will,Hughes,ENG,LT,Crystal Palace,Premier League,28,1995,24,4,587,6.5,0,1,1,0,0,0,4,0,0.2,0.2,0.9,"1,1",9,22,16,"0,00","0,15","0,15","0,00","0,15","0,03","0,13","0,16","0,03","0,16"
1152,Mats,Hummels, GER,ZG,Dortmund, Bundesliga,34,1988,27,21,1.781,19.8,1,0,1,1,0,0,4,0,1.7,1.7,0.8,"2,5",17,87,6,"0,05","0,00","0,05","0,05","0,05","0,09","0,04","0,13","0,09","0,13"
1153,Adrien,Hunou, FRA,"LT,AT",Angers, Ligue 1,29,1994,30,26,2.096,23.3,4,1,5,4,0,0,2,0,6.2,6.2,2.2,"8,4",34,59,136,"0,17","0,04","0,21","0,17","0,21","0,27","0,09","0,36","0,27","0,36"
1154,Denis,Huseinbasic, GER,"LT,AT",Köln, Bundesliga,21,2001,21,7,728,8.1,3,1,4,3,0,0,3,0,2.1,2.1,0.3,"2,4",9,32,44,"0,37","0,12","0,49","0,37","0,49","0,26","0,04","0,30","0,26","0,30"
1155,Omari,Hutchinson,ENG,AT,Chelsea,Premier League,19,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1,0,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1156,Elseid,Hysaj, ALB,ZG,Lazio, Serie A,29,1994,30,18,1.682,18.7,0,1,1,0,0,0,3,0,0.1,0.1,0.9,"1,0",28,81,42,"0,00","0,05","0,05","0,00","0,05","0,00","0,05","0,05","0,00","0,05"
1157,Pierre,Højbjerg, DEN,LT,Tottenham,Premier League,27,1995,34,34,3.041,33.8,4,5,9,4,0,0,5,0,2.0,2.0,2.8,"4,8",45,232,66,"0,12","0,15","0,27","0,12","0,27","0,06","0,08","0,14","0,06","0,14"
1158,Rasmus,Højlund, DEN,AT,Atalanta, Serie A,20,2003,28,17,1.531,17.0,7,2,9,7,0,0,1,0,7.7,7.7,2.3,"9,9",32,35,186,"0,41","0,12","0,53","0,41","0,53","0,45","0,13","0,59","0,45","0,59"
1159,Pablo,Ibáñez, ESP,LT,Osasuna, La Liga,24,1998,20,11,926,10.3,0,1,1,0,0,0,0,0,1.2,1.2,0.8,"1,9",13,54,35,"0,00","0,10","0,10","0,00","0,10","0,11","0,07","0,19","0,11","0,19"
1160,Roger,Ibanez, BRA,ZG,Roma, Serie A,24,1998,30,30,2.641,29.3,3,0,3,3,0,0,11,1,2.9,2.9,0.6,"3,4",24,71,9,"0,10","0,00","0,10","0,10","0,10","0,10","0,02","0,12","0,10","0,12"
1161,Arijon,Ibrahimović, GER,LT,Bayern Munich, Bundesliga,17,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,"0,6",0,0,2,"0,00","0,00","0,00","0,00","0,00","3,31","0,37","3,68","3,31","3,68"
1162,Zlatan,Ibrahimović, SWE,AT,Milan, Serie A,41,1981,4,1,146,1.6,1,0,1,0,1,1,0,0,1.2,0.4,0.2,"0,6",0,4,10,"0,62","0,00","0,62","0,00","0,00","0,72","0,11","0,84","0,24","0,35"
1163,Mounaim,El Idrissy, FRA,AT,Ajaccio, Ligue 1,24,1999,30,28,2.345,26.1,6,0,6,6,0,0,10,0,7.2,7.2,0.9,"8,2",19,38,167,"0,23","0,00","0,23","0,23","0,23","0,28","0,03","0,31","0,28","0,31"
1164,Borja,Iglesias, ESP,AT,Betis, La Liga,30,1993,30,26,2.078,23.1,12,3,15,7,5,6,1,1,13.0,8.2,2.8,"11,0",20,28,131,"0,52","0,13","0,65","0,30","0,43","0,56","0,12","0,68","0,36","0,48"
1165,Kelechi,Iheanacho, NGA,"AT,LT",Leicester City,Premier League,26,1996,26,9,1.006,11.2,5,4,9,4,1,1,0,0,7.0,6.2,3.5,"9,7",31,24,90,"0,45","0,36","0,81","0,36","0,72","0,62","0,32","0,94","0,55","0,87"
1166,Jonathan,Ikone, FRA,AT,Fiorentina, Serie A,25,1998,29,21,1.782,19.8,3,4,7,3,0,0,4,0,3.3,3.3,2.8,"6,2",72,60,154,"0,15","0,20","0,35","0,15","0,35","0,17","0,14","0,31","0,17","0,31"
1167,Ivan,Ilić, SRB,LT,Hellas Verona, Serie A,22,2001,11,10,851,9.5,0,1,1,0,0,0,1,0,0.4,0.4,1.0,"1,4",18,39,20,"0,00","0,11","0,11","0,00","0,11","0,04","0,10","0,14","0,04","0,14"
1168,Ivan,Ilić, SRB,LT,Torino, Serie A,22,2001,10,9,831,9.2,1,2,3,1,0,0,1,0,0.1,0.1,0.6,"0,7",18,47,19,"0,11","0,22","0,32","0,11","0,32","0,01","0,07","0,07","0,01","0,07"
1169,Rareş,Ilie, ROU,"LT,AT",Nice, Ligue 1,20,2003,4,2,148,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,"0,5",7,1,6,"0,00","0,00","0,00","0,00","0,00","0,18","0,14","0,32","0,18","0,32"
1170,Samuel,Iling-Junior,ENG,"ZG,LT",Juventus, Serie A,19,2003,9,1,229,2.5,1,1,2,1,0,0,1,0,0.7,0.7,0.0,"0,8",9,8,22,"0,39","0,39","0,79","0,39","0,79","0,28","0,02","0,30","0,28","0,30"
1171,Emirhan,İlkhan, TUR,LT,Torino, Serie A,18,2004,4,1,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,"0,1",2,8,3,"0,00","0,00","0,00","0,00","0,00","0,05","0,10","0,14","0,05","0,14"
1172,Emirhan,İlkhan, TUR,LT,Sampdoria, Serie A,18,2004,5,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,"0,1",1,3,4,"0,00","0,00","0,00","0,00","0,00","0,04","0,09","0,13","0,04","0,13"
1173,Asier,Illarramendi, ESP,LT,Real Sociedad, La Liga,33,1990,21,10,889,9.9,1,0,1,1,0,0,4,0,0.8,0.8,0.4,"1,1",10,43,20,"0,10","0,00","0,10","0,10","0,10","0,08","0,04","0,12","0,08","0,12"
1174,Ciro,Immobile, ITA,AT,Lazio, Serie A,33,1990,27,23,1.861,20.7,10,3,13,7,3,4,3,0,11.2,8.1,1.3,"9,4",33,35,141,"0,48","0,15","0,63","0,34","0,48","0,54","0,06","0,60","0,39","0,46"
1175,Danny,Ings,ENG,AT,West Ham,Premier League,30,1992,14,5,575,6.4,2,0,2,2,0,0,0,0,2.2,2.2,0.2,"2,4",7,6,25,"0,31","0,00","0,31","0,31","0,31","0,34","0,03","0,38","0,34","0,38"
1176,Danny,Ings,ENG,AT,Aston Villa,Premier League,30,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,"5,0",15,12,46,"0,66","0,00","0,66","0,44","0,44","0,59","0,13","0,71","0,41","0,54"
1177,Marcus,Ingvartsen, DEN,"AT,LT",Mainz 05, Bundesliga,27,1996,25,14,1.159,12.9,9,0,9,5,4,4,2,0,7.5,4.3,0.2,"4,5",14,24,75,"0,70","0,00","0,70","0,39","0,39","0,58","0,02","0,60","0,34","0,35"
1178,Bonke,Innocent, NGA,LT,Lorient, Ligue 1,27,1996,23,12,1.068,11.9,0,1,1,0,0,0,5,0,0.1,0.1,0.3,"0,4",3,29,0,"0,00","0,08","0,08","0,00","0,08","0,01","0,02","0,03","0,01","0,03"
1179,Alexander,Isak, SWE,AT,Newcastle Utd,Premier League,23,1999,18,13,1.166,13.0,10,1,11,8,2,2,2,0,7.5,6.0,2.1,"8,1",29,35,92,"0,77","0,08","0,85","0,62","0,69","0,58","0,16","0,74","0,46","0,62"
1180,Alexander,Isak, SWE,AT,Real Sociedad, La Liga,23,1999,2,2,152,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,"0,3",3,3,11,"0,59","0,00","0,59","0,59","0,59","0,12","0,06","0,18","0,12","0,18"
1181,Ardian,Ismajli, ALB,ZG,Empoli, Serie A,26,1996,22,20,1.855,20.6,0,0,0,0,0,0,3,0,0.7,0.7,0.3,"1,0",8,35,0,"0,00","0,00","0,00","0,00","0,00","0,03","0,01","0,05","0,03","0,05"
1182,Ko,Itakura, JPN,ZG,M'Gladbach, Bundesliga,26,1997,21,20,1.756,19.5,0,2,2,0,0,0,1,2,0.5,0.5,0.2,"0,7",17,48,1,"0,00","0,10","0,10","0,00","0,10","0,03","0,01","0,04","0,03","0,04"
1183,Hiroki,Ito, JPN,ZG,Stuttgart, Bundesliga,24,1999,27,26,2.291,25.5,1,1,2,1,0,0,5,0,0.8,0.8,2.0,"2,8",27,148,27,"0,04","0,04","0,08","0,04","0,08","0,03","0,08","0,11","0,03","0,11"
1184,Junya,Ito, JPN,AT,Reims, Ligue 1,30,1993,31,30,2.557,28.4,5,5,10,5,0,0,3,1,5.5,5.5,7.5,"13,0",114,117,287,"0,18","0,18","0,35","0,18","0,35","0,19","0,26","0,46","0,19","0,46"
1185,Andreas,Ivan, ROU,LT,Schalke 04, Bundesliga,28,1995,1,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,2,1,"0,00","0,00","0,00","0,00","0,00","0,08","0,00","0,08","0,08","0,08"
1186,Daniel,Iversen, DEN,G,Leicester City,Premier League,25,1997,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1187,Alex,Iwobi, NGA,"LT,AT",Everton,Premier League,27,1996,35,35,3.108,34.5,2,7,9,2,0,0,2,0,2.3,2.3,5.9,"8,2",81,178,132,"0,06","0,20","0,26","0,06","0,26","0,07","0,17","0,24","0,07","0,24"
1188,Armando,Izzo, ITA,ZG,Monza, Serie A,31,1992,26,25,2.150,23.9,1,0,1,1,0,0,9,0,1.8,1.8,0.8,"2,6",19,86,25,"0,04","0,00","0,04","0,04","0,04","0,07","0,04","0,11","0,07","0,11"
1189,Nicolas,Jackson, SEN,AT,Villarreal, La Liga,21,2001,21,11,1.177,13.1,7,2,9,7,0,0,5,1,4.8,4.8,1.8,"6,7",35,32,88,"0,54","0,15","0,69","0,54","0,69","0,37","0,14","0,51","0,37","0,51"
1190,Lee,Jae-sung, KOR,LT,Mainz 05, Bundesliga,30,1992,31,22,1.740,19.3,7,4,11,7,0,0,2,0,4.2,4.2,2.4,"6,7",27,64,92,"0,36","0,21","0,57","0,36","0,57","0,22","0,13","0,34","0,22","0,34"
1191,Paul,Jaeckel, GER,ZG,Union Berlin, Bundesliga,24,1998,15,12,1.117,12.4,1,0,1,1,0,0,4,1,0.1,0.1,0.0,"0,2",5,31,8,"0,08","0,00","0,08","0,08","0,08","0,01","0,00","0,01","0,01","0,01"
1192,Mato,Jajalo, BIH,LT,Udinese, Serie A,34,1988,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,1",0,4,1,"0,00","0,00","0,00","0,00","0,00","0,07","0,07","0,14","0,07","0,14"
1193,Kristijan,Jakić, CRO,"ZG,LT",Eint Frankfurt, Bundesliga,25,1997,24,17,1.460,16.2,1,0,1,1,0,0,4,0,0.7,0.7,0.7,"1,5",16,59,19,"0,06","0,00","0,06","0,06","0,06","0,05","0,05","0,09","0,05","0,09"
1194,Jan,Jakob Olschowsky, GER,G,M'Gladbach, Bundesliga,21,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1195,Ismail,Jakobs, SEN,"ZG,LT",Monaco, Ligue 1,23,1999,29,6,849,9.4,0,2,2,0,0,0,2,0,0.8,0.8,1.4,"2,2",34,38,90,"0,00","0,21","0,21","0,00","0,21","0,08","0,15","0,23","0,08","0,23"
1196,Marin,Jakoliš, CRO,AT,Angers, Ligue 1,26,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",2,3,2,"0,00","0,00","0,00","0,00","0,00","0,39","0,00","0,39","0,39","0,39"
1197,Daniel,James,s WAL,AT,Leeds United,Premier League,25,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,"0,6",6,3,9,"0,00","0,00","0,00","0,00","0,00","0,12","0,15","0,27","0,12","0,27"
1198,Daniel,James,s WAL,AT,Fulham,Premier League,25,1997,19,5,610,6.8,2,1,3,2,0,0,0,0,1.7,1.7,0.7,"2,5",22,15,45,"0,30","0,15","0,44","0,30","0,44","0,25","0,11","0,36","0,25","0,36"
1199,Reece,James,ENG,"ZG,LT",Chelsea,Premier League,23,1999,16,14,1.244,13.8,1,1,2,1,0,0,4,0,1.0,1.0,3.0,"4,0",52,90,115,"0,07","0,07","0,14","0,07","0,14","0,07","0,22","0,29","0,07","0,29"
1200,Vitaly,Janelt, GER,"LT,ZG",Brentford,Premier League,25,1998,32,21,1.938,21.5,3,1,4,3,0,0,2,0,2.2,2.2,1.3,"3,4",12,76,26,"0,14","0,05","0,19","0,14","0,19","0,10","0,06","0,16","0,10","0,16"
1201,Saidy,Janko, GAM,ZG,Bochum, Bundesliga,27,1995,17,9,864,9.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,"0,2",19,26,25,"0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,00","0,02"
1202,Pontus,Jansson, SWE,ZG,Brentford,Premier League,32,1991,12,9,724,8.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,"0,3",1,14,0,"0,12","0,00","0,12","0,12","0,12","0,04","0,00","0,04","0,04","0,04"
1203,Tony,Jantschke, GER,"ZG,LT",M'Gladbach, Bundesliga,33,1990,6,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,1,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1204,Adnan,Januzaj, BEL,AT,Sevilla, La Liga,28,1995,2,1,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,1,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
1205,Luis,Javier Suárez, COL,AT,Almería, La Liga,25,1997,18,15,1.285,14.3,4,2,6,4,0,0,4,0,4.1,4.1,1.8,"5,9",26,23,74,"0,28","0,14","0,42","0,28","0,42","0,29","0,13","0,42","0,29","0,42"
1206,Luis,Javier Suárez, COL,AT,Marseille, Ligue 1,25,1997,7,2,293,3.3,3,1,4,3,0,0,1,0,2.4,2.4,0.4,"2,8",5,11,17,"0,92","0,31","1,23","0,92","1,23","0,74","0,11","0,85","0,74","0,85"
1207,Dany,Jean, HAI,"ZG,LT",Strasbourg, Ligue 1,20,2002,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1,2,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,32","0,32","0,00","0,32"
1208,Julian,Jeanvier, GUI,ZG,Auxerre, Ligue 1,31,1992,21,19,1.686,18.7,1,0,1,1,0,0,5,1,1.2,1.2,0.0,"1,2",4,26,6,"0,05","0,00","0,05","0,05","0,05","0,06","0,00","0,07","0,06","0,07"
1209,Fredrik,Jensen, FIN,"AT,LT",Augsburg, Bundesliga,25,1997,20,8,924,10.3,2,1,3,2,0,0,1,0,1.8,1.8,1.4,"3,2",3,24,62,"0,19","0,10","0,29","0,19","0,29","0,17","0,13","0,31","0,17","0,31"
1210,Mathias,Jensen, DEN,LT,Brentford,Premier League,27,1996,35,35,2.663,29.6,5,5,10,5,0,0,5,0,2.1,2.1,4.5,"6,6",21,129,74,"0,17","0,17","0,34","0,17","0,34","0,07","0,15","0,22","0,07","0,22"
1211,Moritz,Jenz, GER,ZG,Schalke 04, Bundesliga,24,1999,10,10,855,9.5,0,0,0,0,0,0,4,0,0.9,0.9,0.0,"1,0",6,16,1,"0,00","0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,10","0,10"
1212,Gabriel,Jesus, BRA,AT,Arsenal,Premier League,26,1997,23,21,1.808,20.1,10,5,15,9,1,1,5,0,13.2,12.5,3.3,"15,7",39,59,164,"0,50","0,25","0,75","0,45","0,70","0,66","0,16","0,82","0,62","0,78"
1213,Juan,Jesus, BRA,ZG,Napoli, Serie A,31,1991,12,9,813,9.0,1,0,1,1,0,0,2,0,0.2,0.2,0.1,"0,3",13,52,2,"0,11","0,00","0,11","0,11","0,11","0,02","0,01","0,03","0,02","0,03"
1214,Raúl,Jiménez, MEX,AT,Wolves,Premier League,32,1991,13,7,743,8.3,0,1,1,0,0,0,0,0,2.6,2.6,1.7,"4,3",5,13,44,"0,00","0,12","0,12","0,00","0,12","0,31","0,21","0,52","0,31","0,52"
1215,Þórir,Jóhann Helgason, ISL,LT,Lecce, Serie A,22,2000,11,2,213,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,"0,4",2,2,3,"0,00","0,00","0,00","0,00","0,00","0,02","0,15","0,17","0,02","0,17"
1216,Ben,Johnson,ENG,ZG,West Ham,Premier League,23,2000,15,8,775,8.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,"0,3",13,37,19,"0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,03","0,00","0,03"
1217,Brennan,Johnson,s WAL,"AT,LT",Nott'ham Forest,Premier League,21,2001,35,32,2.822,31.4,8,3,11,7,1,3,6,0,8.5,6.2,3.2,"9,4",86,30,153,"0,26","0,10","0,35","0,22","0,32","0,27","0,10","0,38","0,20","0,30"
